AssetID;Action_Actual;Action_From;Action_To;Trigger_Date;Trigger_MSGNo;Trigger_Text;Trigger_Count;AWS;BWS;AVSS;CalcDate
65316;34;12.03.2015 04:24;12.03.2015 04:24;12.03.2015 04:00;3345;Ignition safety loop ;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 04:24;12.03.2015 04:44;12.03.2015 04:24;0;NULL;0;0;4;0;29.10.2018 12:25
65316;26;12.03.2015 04:44;12.03.2015 04:44;12.03.2015 04:44;0;NULL;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 04:44;12.03.2015 04:46;12.03.2015 04:44;0;NULL;0;0;4;0;29.10.2018 12:25
65316;6;12.03.2015 04:46;12.03.2015 04:46;12.03.2015 04:46;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 04:46;12.03.2015 04:46;12.03.2015 04:46;3375;Air starter engagement fault;1;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 04:46;12.03.2015 04:46;12.03.2015 04:46;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 04:46;12.03.2015 04:47;12.03.2015 04:46;3375;Air starter engagement fault;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 04:47;12.03.2015 04:47;12.03.2015 04:46;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 04:47;12.03.2015 04:50;12.03.2015 04:47;0;NULL;0;0;4;0;29.10.2018 12:25
65316;6;12.03.2015 04:50;12.03.2015 04:50;12.03.2015 04:50;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 04:50;12.03.2015 04:57;12.03.2015 04:50;3375;Air starter engagement fault;1;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 04:57;12.03.2015 04:58;12.03.2015 04:50;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 04:58;12.03.2015 04:58;12.03.2015 04:50;3375;Air starter engagement fault;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 04:58;12.03.2015 04:58;12.03.2015 04:50;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 04:58;12.03.2015 04:58;12.03.2015 04:58;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 04:58;2015-03-12 04:58:57.077;12.03.2015 04:58;2229;Conrod bearing monitoring CAN communication failure;1;0;4;0;29.10.2018 12:25
65316;34;2015-03-12 04:58:57.077;2015-03-12 04:58:57.077;12.03.2015 04:58;2229;Conrod bearing monitoring CAN communication failure;0;0;4;0;29.10.2018 12:25
65316;34;2015-03-12 04:58:57.077;12.03.2015 04:59;12.03.2015 04:58;2229;Conrod bearing monitoring CAN communication failure;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 04:59;12.03.2015 04:59;12.03.2015 04:58;2229;Conrod bearing monitoring CAN communication failure;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 04:59;12.03.2015 05:03;12.03.2015 04:59;0;NULL;0;0;4;0;29.10.2018 12:25
65316;6;12.03.2015 05:03;12.03.2015 05:03;12.03.2015 05:03;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 05:03;12.03.2015 09:04;12.03.2015 05:03;3375;Air starter engagement fault;1;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 09:04;12.03.2015 23:39;12.03.2015 05:03;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 23:39;13.03.2015 00:08;12.03.2015 05:03;3375;Air starter engagement fault;0;0;2;0;29.10.2018 12:25
65316;34;13.03.2015 00:08;13.03.2015 00:25;12.03.2015 05:03;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;34;13.03.2015 00:25;13.03.2015 00:25;12.03.2015 05:03;3375;Air starter engagement fault;0;0;2;0;29.10.2018 12:25
65316;34;13.03.2015 00:25;13.03.2015 00:26;12.03.2015 05:03;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;34;13.03.2015 00:26;13.03.2015 00:51;12.03.2015 05:03;3375;Air starter engagement fault;0;0;2;0;29.10.2018 12:25
65316;34;13.03.2015 00:51;13.03.2015 01:16;12.03.2015 05:03;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;34;13.03.2015 01:16;13.03.2015 01:22;12.03.2015 05:03;3375;Air starter engagement fault;0;0;2;0;29.10.2018 12:25
